Country,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy
macedonia,2016,"77,50","73,40","75,40"
madagascar,2021,"66,87","62,23","64,49"
madagascar,2020,"67,61","62,89","65,18"
madagascar,2019,"68,21","63,66","65,88"
madagascar,2018,"67,43","63,20","65,27"
madagascar,2017,"67,24","63,04","65,09"
madagascar,2016,"67,14","62,95","65,00"
malasia,2021,"77,36","72,66","74,88"
malasia,2020,"78,47","73,65","75,94"
malasia,2019,"78,31","73,47","75,76"
malasia,2018,"78,27","73,29","75,64"
malasia,2017,"78,14","73,10","75,48"
malasia,2016,"77,94","72,93","75,29"
malaui,2021,"66,47","59,49","62,90"
malaui,2020,"67,60","60,01","63,72"
malaui,2019,"67,97","60,40","64,12"
malaui,2018,"66,96","59,72","63,28"
malaui,2017,"66,64","59,45","62,98"
malaui,2016,"65,67","58,86","62,21"
maldivas,2021,"81,02","79,08","79,92"
maldivas,2020,"81,27","78,85","79,88"
maldivas,2019,"81,16","79,32","80,12"
maldivas,2018,"81,07","79,21","80,01"
maldivas,2017,"81,06","79,10","79,94"
maldivas,2016,"80,81","79,15","79,87"
mali,2021,"60,33","57,62","58,94"
mali,2020,"59,94","57,39","58,63"
mali,2019,"60,84","58,52","59,66"
mali,2018,"60,69","58,14","59,39"
mali,2017,"60,24","58,06","59,13"
mali,2016,"59,70","57,78","58,73"
malta,2021,"84,30","80,80","82,50"
malta,2020,"84,50","80,30","82,30"
malta,2019,"84,60","81,20","82,90"
malta,2018,"84,60","80,40","82,50"
malta,2017,"84,60","80,20","82,40"
malta,2016,"84,40","80,60","82,60"
marruecos,2021,"76,40","71,89","74,04"
marruecos,2020,"76,31","71,76","73,92"
marruecos,2019,"76,45","72,25","74,27"
marruecos,2018,"76,09","72,03","73,99"
marruecos,2017,"75,66","71,78","73,66"
marruecos,2016,"75,18","71,50","73,28"
mauricio,2021,"77,24","70,29","73,68"
mauricio,2020,"77,66","70,86","74,18"
mauricio,2019,"77,56","71,07","74,24"
mauricio,2018,"77,72","71,27","74,42"
mauricio,2017,"77,89","71,30","74,51"
mauricio,2016,"77,76","71,19","74,39"
mauritania,2021,"66,10","62,67","64,36"
mauritania,2020,"66,34","62,78","64,53"
mauritania,2019,"67,65","63,78","65,69"
mauritania,2018,"67,08","63,59","65,31"
mauritania,2017,"66,94","63,28","65,08"
mauritania,2016,"66,48","63,11","64,77"
mexico,2021,"74,86","66,06","70,21"
mexico,2020,"74,31","66,33","70,13"
mexico,2019,"77,57","70,93","74,20"
mexico,2018,"77,29","70,83","74,02"
mexico,2017,"77,30","71,04","74,14"
mexico,2016,"77,49","71,40","74,41"
micronesia,2021,"74,61","67,12","70,71"
micronesia,2020,"74,54","67,11","70,67"
micronesia,2019,"74,84","67,58","71,08"
micronesia,2018,"74,96","67,92","71,32"
micronesia,2017,"74,97","68,17","71,47"
micronesia,2016,"74,98","68,40","71,60"
moldavia,2021,"73,55","64,44","68,85"
moldavia,2020,"74,85","65,69","70,17"
moldavia,2019,"75,62","66,38","70,94"
moldavia,2018,"75,23","65,92","70,49"
moldavia,2017,"75,06","66,08","70,52"
moldavia,2016,"74,51","65,47","69,92"
mongolia,2021,"75,70","66,54","70,98"
mongolia,2020,"77,02","67,50","72,14"
mongolia,2019,"76,65","67,25","71,82"
mongolia,2018,"75,83","66,81","71,20"
mongolia,2017,"74,29","66,33","70,24"
mongolia,2016,"74,05","65,88","69,87"
montenegro,2021,"77,00","70,80","73,80"
montenegro,2020,"78,80","73,20","75,90"
montenegro,2019,"79,50","74,00","76,70"
montenegro,2018,"79,30","74,50","76,90"
montenegro,2017,"79,20","73,90","76,60"
montenegro,2016,"78,90","74,10","76,50"
mozambique,2021,"62,43","56,20","59,33"
mozambique,2020,"64,16","58,11","61,17"
mozambique,2019,"63,92","58,31","61,17"
mozambique,2018,"63,23","57,72","60,53"
mozambique,2017,"62,22","57,21","59,77"
mozambique,2016,"61,48","56,49","59,04"
namibia,2021,"62,99","55,72","59,27"
namibia,2020,"66,61","59,06","62,83"
namibia,2019,"66,64","59,43","63,08"
namibia,2018,"66,18","58,93","62,59"
namibia,2017,"65,88","58,65","62,29"
namibia,2016,"65,20","58,11","61,68"
nauru,2021,"67,30","60,26","63,62"
nauru,2020,"67,27","59,99","63,44"
nauru,2019,"67,32","60,06","63,48"
nauru,2018,"66,99","59,88","63,23"
nauru,2017,"66,76","59,65","62,99"
nauru,2016,"66,45","59,39","62,70"
nepal,2021,"70,36","66,57","68,45"
nepal,2020,"71,17","67,35","69,25"
nepal,2019,"71,35","67,76","69,56"
nepal,2018,"70,72","67,23","68,98"
nepal,2017,"70,64","67,17","68,91"
nepal,2016,"70,52","67,03","68,78"
nicaragua,2021,"76,80","70,84","73,84"
nicaragua,2020,"75,01","68,65","71,80"
nicaragua,2019,"77,00","71,07","74,05"
nicaragua,2018,"76,68","70,96","73,85"
nicaragua,2017,"76,37","70,69","73,55"
nicaragua,2016,"76,12","70,34","73,26"
niger,2021,"62,79","60,41","61,58"
niger,2020,"62,45","60,47","61,45"
niger,2019,"63,94","61,87","62,90"
niger,2018,"63,30","61,61","62,45"
niger,2017,"63,15","61,18","62,16"
niger,2016,"62,60","60,66","61,63"
nigeria,2021,"53,07","52,29","52,68"
nigeria,2020,"53,32","52,46","52,89"
nigeria,2019,"53,17","52,65","52,91"
nigeria,2018,"52,77","52,33","52,55"
nigeria,2017,"52,59","52,02","52,31"
nigeria,2016,"52,23","51,85","52,04"
noruega,2021,"84,70","81,70","83,20"
noruega,2020,"84,90","81,60","83,30"
noruega,2019,"84,70","81,30","83,00"
noruega,2018,"84,50","81,10","82,80"
noruega,2017,"84,30","81,00","82,70"
noruega,2016,"84,20","80,70","82,50"
nueva-zelanda,2021,"84,00","80,50","82,21"
nueva-zelanda,2020,"84,10","80,50","82,26"
nueva-zelanda,2019,"83,90","80,30","82,06"
nueva-zelanda,2018,"83,50","80,00","81,71"
nueva-zelanda,2017,"83,60","80,20","81,86"
nueva-zelanda,2016,"83,40","80,00","81,66"
oman,2021,"74,72","70,98","72,54"
oman,2020,"76,79","73,29","74,76"
oman,2019,"79,95","76,54","78,00"
oman,2018,"79,90","76,53","77,97"
oman,2017,"79,84","76,53","77,92"
oman,2016,"79,80","76,54","77,92"
paises-bajos,2021,"83,00","79,70","81,40"
paises-bajos,2020,"83,10","79,70","81,40"
paises-bajos,2019,"83,70","80,60","82,20"
paises-bajos,2018,"83,40","80,30","81,90"
paises-bajos,2017,"83,40","80,20","81,80"
paises-bajos,2016,"83,20","80,00","81,70"
pakistan,2021,"68,62","63,79","66,10"
pakistan,2020,"68,83","63,95","66,27"
pakistan,2019,"69,10","64,60","66,76"
pakistan,2018,"68,96","64,22","66,48"
pakistan,2017,"68,82","64,02","66,30"
pakistan,2016,"68,33","63,68","65,88"
panama,2021,"79,59","73,05","76,22"
panama,2020,"80,03","73,47","76,66"
panama,2019,"80,95","74,79","77,81"
panama,2018,"81,02","74,83","77,86"
panama,2017,"80,93","74,79","77,80"
panama,2016,"80,74","74,69","77,65"
papua-nueva-guinea,2021,"68,42","62,95","65,35"
papua-nueva-guinea,2020,"68,80","63,40","65,79"
papua-nueva-guinea,2019,"68,67","62,96","65,47"
papua-nueva-guinea,2018,"68,12","62,87","65,18"
papua-nueva-guinea,2017,"68,08","62,77","65,10"
papua-nueva-guinea,2016,"67,93","62,44","64,84"
paraguay,2021,"73,39","67,43","70,26"
paraguay,2020,"76,16","70,40","73,18"
paraguay,2019,"76,44","70,96","73,62"
paraguay,2018,"76,34","70,95","73,57"
paraguay,2017,"76,46","70,99","73,64"
paraguay,2016,"76,41","70,83","73,53"
peru,2021,"74,75","70,12","72,38"
peru,2020,"76,82","70,81","73,67"
peru,2019,"78,50","73,90","76,16"
peru,2018,"78,29","73,80","76,01"
peru,2017,"78,10","73,73","75,88"
peru,2016,"77,95","73,70","75,79"
polonia,2021,"79,50","71,40","75,40"
polonia,2020,"80,70","72,50","76,50"
polonia,2019,"81,90","74,10","78,00"
polonia,2018,"81,70","73,70","77,70"
polonia,2017,"81,80","73,90","77,80"
polonia,2016,"82,00","73,90","78,00"
portugal,2021,"84,40","78,50","81,50"
portugal,2020,"84,10","78,00","81,10"
portugal,2019,"84,80","78,70","81,90"
portugal,2018,"84,50","78,30","81,50"
portugal,2017,"84,60","78,40","81,60"
portugal,2016,"84,30","78,10","81,30"
republica-centroafricana,2021,"56,30","51,65","53,90"
republica-centroafricana,2020,"56,76","52,58","54,60"
republica-centroafricana,2019,"57,11","53,05","55,03"
republica-centroafricana,2018,"56,59","52,29","54,37"
republica-centroafricana,2017,"56,05","51,55","53,72"
republica-centroafricana,2016,"55,39","51,64","53,46"
republica-checa,2021,"80,50","74,10","77,20"
republica-checa,2020,"81,30","75,20","78,20"
republica-checa,2019,"82,20","76,40","79,30"
republica-checa,2018,"82,00","76,20","79,10"
republica-checa,2017,"82,00","76,10","79,10"
republica-checa,2016,"82,10","76,10","79,10"
republica-democratica-congo,2021,"61,52","56,95","59,19"
republica-democratica-congo,2020,"61,70","57,82","59,74"
republica-democratica-congo,2019,"62,24","58,34","60,28"
republica-democratica-congo,2018,"61,77","58,13","59,94"
republica-democratica-congo,2017,"61,11","57,72","59,41"
republica-democratica-congo,2016,"60,90","57,25","59,07"
republica-dominicana,2021,"76,29","69,30","72,62"
republica-dominicana,2020,"76,91","69,36","72,89"
republica-dominicana,2019,"76,97","70,47","73,58"
republica-dominicana,2018,"76,50","70,23","73,23"
republica-dominicana,2017,"76,32","70,07","73,06"
republica-dominicana,2016,"76,30","69,95","72,99"
ruanda,2021,"68,16","63,80","66,07"
ruanda,2020,"69,00","64,36","66,77"
ruanda,2019,"68,48","64,18","66,44"
ruanda,2018,"68,27","64,01","66,25"
ruanda,2017,"68,10","63,56","65,94"
ruanda,2016,"67,92","63,33","65,74"
rumania,2021,"76,60","69,20","72,80"
rumania,2020,"78,30","70,40","74,20"
rumania,2019,"79,50","71,90","75,60"
rumania,2018,"79,20","71,70","75,30"
rumania,2017,"79,00","71,60","75,20"
rumania,2016,"79,00","71,60","75,20"
rusia,2021,"74,51","65,51","69,90"
rusia,2020,"76,43","66,49","71,34"
rusia,2019,"78,17","68,24","73,08"
rusia,2018,"77,82","67,75","72,66"
rusia,2017,"77,64","67,51","72,45"
rusia,2016,"77,06","66,50","71,65"
samoa,2021,"75,50","70,31","72,77"
samoa,2020,"75,46","70,34","72,77"
samoa,2019,"74,81","69,77","72,16"
samoa,2018,"75,31","70,21","72,64"
samoa,2017,"75,27","70,16","72,59"
samoa,2016,"75,22","70,11","72,54"
san-cristobal-nieves,2021,"75,34","68,35","71,68"
san-cristobal-nieves,2020,"75,27","68,32","71,63"
san-cristobal-nieves,2019,"75,20","68,29","71,57"
san-cristobal-nieves,2018,"75,09","68,21","71,47"
san-cristobal-nieves,2017,"75,92","68,21","71,84"
san-cristobal-nieves,2016,"75,94","68,04","71,74"
san-vicente-las-granadinas,2021,"72,40","67,35","69,63"
san-vicente-las-granadinas,2020,"74,94","69,81","72,13"
san-vicente-las-granadinas,2019,"75,58","70,53","72,84"
san-vicente-las-granadinas,2018,"76,86","71,82","74,13"
san-vicente-las-granadinas,2017,"77,05","71,98","74,31"
san-vicente-las-granadinas,2016,"77,10","71,89","74,28"
santa-lucia,2021,"74,72","67,84","71,11"
santa-lucia,2020,"77,06","70,04","73,42"
santa-lucia,2019,"77,06","70,10","73,45"
santa-lucia,2018,"76,97","70,02","73,36"
santa-lucia,2017,"76,76","69,79","73,13"
santa-lucia,2016,"76,58","69,91","73,11"
santo-tome-principe,2021,"70,42","65,16","67,59"
santo-tome-principe,2020,"70,88","65,16","67,79"
santo-tome-principe,2019,"71,62","65,83","68,52"
santo-tome-principe,2018,"71,45","65,65","68,36"
santo-tome-principe,2017,"71,38","65,53","68,27"
santo-tome-principe,2016,"70,38","64,93","67,49"
senegal,2021,"69,28","64,75","67,09"
senegal,2020,"70,27","65,59","68,01"
senegal,2019,"70,95","65,95","68,53"
senegal,2018,"70,26","65,78","68,10"
senegal,2017,"70,07","65,30","67,75"
senegal,2016,"69,79","65,07","67,50"
serbia,2021,"75,70","70,00","72,80"
serbia,2020,"77,50","71,60","74,50"
serbia,2019,"78,60","73,40","76,00"
serbia,2018,"78,40","73,50","75,90"
serbia,2017,"78,10","73,10","75,60"
serbia,2016,"78,30","73,20","75,70"
seychelles,2021,"75,60","71,30","73,40"
seychelles,2020,"82,00","72,70","77,24"
seychelles,2019,"78,40","69,90","74,05"
seychelles,2018,"77,40","68,50","72,84"
seychelles,2017,"78,50","70,30","74,30"
seychelles,2016,"80,20","68,70","74,31"
sierra-leona,2021,"61,35","58,76","60,06"
sierra-leona,2020,"61,12","58,40","59,76"
sierra-leona,2019,"61,55","58,94","60,26"
sierra-leona,2018,"61,17","58,42","59,80"
sierra-leona,2017,"59,79","57,49","58,65"
sierra-leona,2016,"59,56","57,24","58,40"
singapur,2021,"85,50","80,80","83,09"
singapur,2020,"85,90","81,30","83,54"
singapur,2019,"85,90","81,40","83,60"
singapur,2018,"85,50","81,20","83,30"
singapur,2017,"85,40","80,90","83,10"
singapur,2016,"85,10","80,70","82,85"
siria,2021,"75,18","69,06","72,06"
siria,2020,"75,56","68,89","72,14"
siria,2019,"75,64","68,22","71,82"
siria,2018,"75,17","65,63","70,15"
siria,2017,"74,93","62,96","68,48"
siria,2016,"71,01","61,57","65,99"
somalia,2021,"57,41","53,25","55,28"
somalia,2020,"58,05","53,97","55,97"
somalia,2019,"59,09","55,12","57,08"
somalia,2018,"58,55","54,28","56,38"
somalia,2017,"57,81","53,58","55,65"
somalia,2016,"57,29","52,89","55,04"
sri-lanka,2021,"79,50","73,11","76,40"
sri-lanka,2020,"80,11","72,60","76,39"
sri-lanka,2019,"79,74","72,23","76,01"
sri-lanka,2018,"79,49","71,98","75,75"
sri-lanka,2017,"79,32","71,54","75,40"
sri-lanka,2016,"79,36","71,41","75,33"
suazilandia,2021,"61,25","53,37","57,07"
suazilandia,2020,"63,68","56,03","59,69"
suazilandia,2019,"64,35","56,98","60,55"
suazilandia,2018,"63,17","55,88","59,41"
suazilandia,2017,"61,54","54,47","57,90"
suazilandia,2016,"60,03","53,47","56,66"
sudafrica,2021,"65,00","59,46","62,34"
sudafrica,2020,"67,96","62,18","65,25"
sudafrica,2019,"69,11","62,83","66,18"
sudafrica,2018,"68,74","62,20","65,67"
sudafrica,2017,"68,43","61,95","65,40"
sudafrica,2016,"67,79","61,31","64,75"
sudan,2021,"67,88","62,74","65,27"
sudan,2020,"68,21","63,11","65,61"
sudan,2019,"68,39","63,43","65,88"
sudan,2018,"68,23","63,21","65,68"
sudan,2017,"68,02","62,96","65,45"
sudan,2016,"67,43","62,23","64,78"
suecia,2021,"84,90","81,30","83,10"
suecia,2020,"84,20","80,60","82,40"
suecia,2019,"84,80","81,50","83,20"
suecia,2018,"84,30","80,90","82,60"
suecia,2017,"84,10","80,80","82,50"
suecia,2016,"84,10","80,60","82,40"
suiza,2021,"85,80","81,80","83,90"
suiza,2020,"85,10","81,00","83,10"
suiza,2019,"85,80","82,10","84,00"
suiza,2018,"85,70","81,90","83,80"
suiza,2017,"85,60","81,60","83,70"
suiza,2016,"85,60","81,70","83,70"
surinam,2021,"73,55","67,21","70,27"
surinam,2020,"75,98","69,26","72,56"
surinam,2019,"75,68","68,94","72,24"
surinam,2018,"75,94","69,29","72,55"
surinam,2017,"75,70","69,23","72,42"
surinam,2016,"74,85","68,46","71,59"
tailandia,2021,"83,04","74,52","78,72"
tailandia,2020,"83,70","74,95","79,27"
tailandia,2019,"83,43","74,64","78,98"
tailandia,2018,"83,15","74,32","78,66"
tailandia,2017,"82,86","74,07","78,39"
tailandia,2016,"82,59","73,69","78,05"
tanzania,2021,"68,31","64,18","66,20"
tanzania,2020,"68,54","64,37","66,41"
tanzania,2019,"69,12","64,92","66,99"
tanzania,2018,"68,65","64,48","66,54"
tanzania,2017,"68,21","63,86","66,00"
tanzania,2016,"67,69","63,17","65,39"
tayikistan,2021,"73,73","69,57","71,59"
tayikistan,2020,"70,17","66,00","67,99"
tayikistan,2019,"73,01","68,86","70,87"
tayikistan,2018,"72,60","68,27","70,35"
tayikistan,2017,"72,34","67,68","69,91"
tayikistan,2016,"72,09","67,25","69,55"
timor-oriental,2021,"69,54","66,10","67,74"
timor-oriental,2020,"70,28","66,84","68,48"
timor-oriental,2019,"69,95","66,72","68,27"
timor-oriental,2018,"69,70","66,47","68,02"
timor-oriental,2017,"69,44","66,19","67,75"
timor-oriental,2016,"69,17","65,87","67,45"
togo,2021,"62,39","60,85","61,62"
togo,2020,"61,58","60,49","61,04"
togo,2019,"61,44","60,35","60,90"
togo,2018,"60,65","59,83","60,24"
togo,2017,"60,48","59,81","60,15"
togo,2016,"59,76","59,33","59,55"
tonga,2021,"73,72","68,42","70,99"
tonga,2020,"73,70","68,34","70,93"
tonga,2019,"73,67","68,27","70,87"
tonga,2018,"73,61","68,15","70,78"
tonga,2017,"73,58","68,07","70,71"
tonga,2016,"73,56","67,99","70,66"
trinidad-tobago,2021,"76,40","69,66","72,97"
trinidad-tobago,2020,"77,88","70,98","74,41"
trinidad-tobago,2019,"77,70","70,83","74,23"
trinidad-tobago,2018,"77,35","70,30","73,80"
trinidad-tobago,2017,"77,69","70,78","74,23"
trinidad-tobago,2016,"77,67","70,88","74,28"
tunez,2021,"77,15","70,74","73,77"
tunez,2020,"79,28","71,84","75,29"
tunez,2019,"79,38","72,90","75,99"
tunez,2018,"79,32","72,86","75,95"
tunez,2017,"79,13","72,83","75,85"
tunez,2016,"79,08","72,76","75,79"
turkmenistan,2021,"72,66","65,87","69,26"
turkmenistan,2020,"71,98","65,39","68,69"
turkmenistan,2019,"72,46","65,55","69,00"
turkmenistan,2018,"72,19","65,41","68,80"
turkmenistan,2017,"72,23","65,59","68,92"
turkmenistan,2016,"72,00","65,54","68,78"
turquia,2021,"79,12","73,04","76,03"
turquia,2020,"79,06","72,77","75,85"
turquia,2019,"81,80","76,40","79,10"
turquia,2018,"81,60","76,20","78,90"
turquia,2017,"81,30","75,70","78,50"
turquia,2016,"81,00","75,40","78,10"
ucrania,2021,"74,36","65,16","69,65"
ucrania,2020,"76,22","66,39","71,19"
ucrania,2019,"78,30","68,40","73,40"
ucrania,2018,"78,00","68,10","73,20"
ucrania,2017,"78,00","68,30","73,30"
ucrania,2016,"77,60","68,00","72,90"
uganda,2021,"64,92","60,42","62,71"
uganda,2020,"64,90","60,72","62,85"
uganda,2019,"64,99","60,89","62,99"
uganda,2018,"64,74","60,59","62,71"
uganda,2017,"64,03","60,10","62,12"
uganda,2016,"63,81","59,40","61,65"
uk,2021,"82,80","78,70","80,70"
uk,2020,"82,40","78,40","80,35"
uk,2019,"83,30","79,60","81,40"
uk,2018,"83,10","79,50","81,30"
uk,2017,"83,10","79,50","81,30"
uk,2016,"83,00","79,40","81,20"
uruguay,2021,"79,26","71,65","75,44"
uruguay,2020,"81,91","74,69","78,43"
uruguay,2019,"81,30","73,58","77,51"
uruguay,2018,"81,28","73,75","77,61"
uruguay,2017,"81,32","73,73","77,63"
uruguay,2016,"81,36","73,59","77,57"
usa,2021,"79,30","73,50","76,33"
usa,2020,"79,90","74,20","76,98"
usa,2019,"81,40","76,30","78,79"
usa,2018,"81,20","76,20","78,64"
usa,2017,"81,10","76,10","78,54"
usa,2016,"81,10","76,10","78,54"
uzbekistan,2021,"73,39","68,33","70,86"
uzbekistan,2020,"72,79","67,88","70,33"
uzbekistan,2019,"73,88","68,78","71,34"
uzbekistan,2018,"73,82","68,48","71,15"
uzbekistan,2017,"73,77","68,26","71,01"
uzbekistan,2016,"73,51","68,02","70,76"
vanuatu,2021,"72,95","68,40","70,45"
vanuatu,2020,"72,43","68,55","70,30"
vanuatu,2019,"72,41","67,80","69,88"
vanuatu,2018,"72,30","67,75","69,80"
vanuatu,2017,"72,25","67,65","69,71"
vanuatu,2016,"72,13","67,65","69,65"
venezuela,2021,"75,21","66,26","70,55"
venezuela,2020,"75,81","66,74","71,10"
venezuela,2019,"76,57","68,03","72,16"
venezuela,2018,"76,43","67,83","71,98"
venezuela,2017,"76,23","67,94","71,94"
venezuela,2016,"76,74","67,76","72,06"
vietnam,2021,"78,24","69,12","73,62"
vietnam,2020,"79,92","70,79","75,38"
vietnam,2019,"78,89","69,37","74,09"
vietnam,2018,"78,78","69,25","73,98"
vietnam,2017,"78,72","69,26","73,96"
vietnam,2016,"78,76","69,18","73,94"
yemen,2021,"67,13","60,63","63,75"
yemen,2020,"67,89","61,64","64,65"
yemen,2019,"68,63","61,81","65,09"
yemen,2018,"68,60","60,90","64,58"
yemen,2017,"68,96","63,11","65,96"
yemen,2016,"68,94","63,32","66,06"
yibuti,2021,"65,02","59,73","62,31"
yibuti,2020,"65,46","60,07","62,69"
yibuti,2019,"65,56","60,70","63,09"
yibuti,2018,"65,58","60,59","63,04"
yibuti,2017,"65,34","60,35","62,80"
yibuti,2016,"64,52","59,94","62,19"
zambia,2021,"63,93","58,49","61,22"
zambia,2020,"65,04","59,64","62,38"
zambia,2019,"65,41","60,08","62,79"
zambia,2018,"64,92","59,67","62,34"
zambia,2017,"64,61","59,53","62,12"
zambia,2016,"64,12","59,35","61,79"
zimbabue,2021,"62,05","56,23","59,25"
zimbabue,2020,"63,86","58,13","61,12"
zimbabue,2019,"63,66","58,64","61,29"
zimbabue,2018,"63,59","58,97","61,41"
zimbabue,2017,"62,96","58,21","60,71"
zimbabue,2016,"62,42","57,96","60,31"
