,Year,Life Expectancy F,Life Expectancy M,Total Life Expectancy,Continent
684,2021,66.1,62.67,64.36,África
685,2020,66.34,62.78,64.53,África
686,2019,67.65,63.78,65.69,África
687,2018,67.08,63.59,65.31,África
688,2017,66.94,63.28,65.08,África
689,2016,66.48,63.11,64.77,África
690,2021,74.86,66.06,70.21,América
691,2020,74.31,66.33,70.13,América
692,2019,77.57,70.93,74.2,América
693,2018,77.29,70.83,74.02,América
694,2017,77.3,71.04,74.14,América
695,2016,77.49,71.4,74.41,América
696,2021,74.61,67.12,70.71,Oceanía
697,2020,74.54,67.11,70.67,Oceanía
698,2019,74.84,67.58,71.08,Oceanía
699,2018,74.96,67.92,71.32,Oceanía
700,2017,74.97,68.17,71.47,Oceanía
701,2016,74.98,68.4,71.6,Oceanía
702,2021,73.55,64.44,68.85,Europa
703,2020,74.85,65.69,70.17,Europa
704,2019,75.62,66.38,70.94,Europa
705,2018,75.23,65.92,70.49,Europa
706,2017,75.06,66.08,70.52,Europa
707,2016,74.51,65.47,69.92,Europa
708,2021,75.7,66.54,70.98,Asia
709,2020,77.02,67.5,72.14,Asia
710,2019,76.65,67.25,71.82,Asia
711,2018,75.83,66.81,71.2,Asia
712,2017,74.29,66.33,70.24,Asia
713,2016,74.05,65.88,69.87,Asia
714,2021,77.0,70.8,73.8,Europa
715,2020,78.8,73.2,75.9,Europa
716,2019,79.5,74.0,76.7,Europa
717,2018,79.3,74.5,76.9,Europa
718,2017,79.2,73.9,76.6,Europa
719,2016,78.9,74.1,76.5,Europa
720,2021,62.43,56.2,59.33,África
721,2020,64.16,58.11,61.17,África
722,2019,63.92,58.31,61.17,África
723,2018,63.23,57.72,60.53,África
724,2017,62.22,57.21,59.77,África
725,2016,61.48,56.49,59.04,África
726,2021,62.99,55.72,59.27,África
727,2020,66.61,59.06,62.83,África
728,2019,66.64,59.43,63.08,África
729,2018,66.18,58.93,62.59,África
730,2017,65.88,58.65,62.29,África
731,2016,65.2,58.11,61.68,África
732,2021,67.3,60.26,63.62,Oceanía
733,2020,67.27,59.99,63.44,Oceanía
734,2019,67.32,60.06,63.48,Oceanía
735,2018,66.99,59.88,63.23,Oceanía
736,2017,66.76,59.65,62.99,Oceanía
737,2016,66.45,59.39,62.7,Oceanía
738,2021,70.36,66.57,68.45,Asia
739,2020,71.17,67.35,69.25,Asia
740,2019,71.35,67.76,69.56,Asia
741,2018,70.72,67.23,68.98,Asia
742,2017,70.64,67.17,68.91,Asia
743,2016,70.52,67.03,68.78,Asia
744,2021,76.8,70.84,73.84,América
745,2020,75.01,68.65,71.8,América
746,2019,77.0,71.07,74.05,América
747,2018,76.68,70.96,73.85,América
748,2017,76.37,70.69,73.55,América
749,2016,76.12,70.34,73.26,América
750,2021,62.79,60.41,61.58,África
751,2020,62.45,60.47,61.45,África
752,2019,63.94,61.87,62.9,África
753,2018,63.3,61.61,62.45,África
754,2017,63.15,61.18,62.16,África
755,2016,62.6,60.66,61.63,África
756,2021,53.07,52.29,52.68,África
757,2020,53.32,52.46,52.89,África
758,2019,53.17,52.65,52.91,África
759,2018,52.77,52.33,52.55,África
760,2017,52.59,52.02,52.31,África
761,2016,52.23,51.85,52.04,África
762,2021,84.7,81.7,83.2,Europa
763,2020,84.9,81.6,83.3,Europa
764,2019,84.7,81.3,83.0,Europa
765,2018,84.5,81.1,82.8,Europa
766,2017,84.3,81.0,82.7,Europa
767,2016,84.2,80.7,82.5,Europa
768,2021,84.0,80.5,82.21,Oceanía
769,2020,84.1,80.5,82.26,Oceanía
770,2019,83.9,80.3,82.06,Oceanía
771,2018,83.5,80.0,81.71,Oceanía
772,2017,83.6,80.2,81.86,Oceanía
773,2016,83.4,80.0,81.66,Oceanía
774,2021,74.72,70.98,72.54,Asia
775,2020,76.79,73.29,74.76,Asia
776,2019,79.95,76.54,78.0,Asia
777,2018,79.9,76.53,77.97,Asia
778,2017,79.84,76.53,77.92,Asia
779,2016,79.8,76.54,77.92,Asia
780,2021,83.0,79.7,81.4,Europa
781,2020,83.1,79.7,81.4,Europa
782,2019,83.7,80.6,82.2,Europa
783,2018,83.4,80.3,81.9,Europa
784,2017,83.4,80.2,81.8,Europa
785,2016,83.2,80.0,81.7,Europa
786,2021,68.62,63.79,66.1,Asia
787,2020,68.83,63.95,66.27,Asia
788,2019,69.1,64.6,66.76,Asia
789,2018,68.96,64.22,66.48,Asia
790,2017,68.82,64.02,66.3,Asia
791,2016,68.33,63.68,65.88,Asia
792,2021,79.59,73.05,76.22,América
793,2020,80.03,73.47,76.66,América
794,2019,80.95,74.79,77.81,América
795,2018,81.02,74.83,77.86,América
796,2017,80.93,74.79,77.8,América
797,2016,80.74,74.69,77.65,América
798,2021,68.42,62.95,65.35,Oceanía
799,2020,68.8,63.4,65.79,Oceanía
800,2019,68.67,62.96,65.47,Oceanía
801,2018,68.12,62.87,65.18,Oceanía
802,2017,68.08,62.77,65.1,Oceanía
803,2016,67.93,62.44,64.84,Oceanía
804,2021,73.39,67.43,70.26,América
805,2020,76.16,70.4,73.18,América
806,2019,76.44,70.96,73.62,América
807,2018,76.34,70.95,73.57,América
808,2017,76.46,70.99,73.64,América
809,2016,76.41,70.83,73.53,América
810,2021,74.75,70.12,72.38,América
811,2020,76.82,70.81,73.67,América
812,2019,78.5,73.9,76.16,América
813,2018,78.29,73.8,76.01,América
814,2017,78.1,73.73,75.88,América
815,2016,77.95,73.7,75.79,América
816,2021,79.5,71.4,75.4,Europa
817,2020,80.7,72.5,76.5,Europa
818,2019,81.9,74.1,78.0,Europa
819,2018,81.7,73.7,77.7,Europa
820,2017,81.8,73.9,77.8,Europa
821,2016,82.0,73.9,78.0,Europa
822,2021,84.4,78.5,81.5,Europa
823,2020,84.1,78.0,81.1,Europa
824,2019,84.8,78.7,81.9,Europa
825,2018,84.5,78.3,81.5,Europa
826,2017,84.6,78.4,81.6,Europa
827,2016,84.3,78.1,81.3,Europa
828,2021,56.3,51.65,53.9,África
829,2020,56.76,52.58,54.6,África
830,2019,57.11,53.05,55.03,África
831,2018,56.59,52.29,54.37,África
832,2017,56.05,51.55,53.72,África
833,2016,55.39,51.64,53.46,África
834,2021,80.5,74.1,77.2,Europa
835,2020,81.3,75.2,78.2,Europa
836,2019,82.2,76.4,79.3,Europa
837,2018,82.0,76.2,79.1,Europa
838,2017,82.0,76.1,79.1,Europa
839,2016,82.1,76.1,79.1,Europa
840,2021,61.52,56.95,59.19,África
841,2020,61.7,57.82,59.74,África
842,2019,62.24,58.34,60.28,África
843,2018,61.77,58.13,59.94,África
844,2017,61.11,57.72,59.41,África
845,2016,60.9,57.25,59.07,África
846,2021,76.29,69.3,72.62,América
847,2020,76.91,69.36,72.89,América
848,2019,76.97,70.47,73.58,América
849,2018,76.5,70.23,73.23,América
850,2017,76.32,70.07,73.06,América
851,2016,76.3,69.95,72.99,América
852,2021,68.16,63.8,66.07,África
853,2020,69.0,64.36,66.77,África
854,2019,68.48,64.18,66.44,África
855,2018,68.27,64.01,66.25,África
856,2017,68.1,63.56,65.94,África
857,2016,67.92,63.33,65.74,África
858,2021,76.6,69.2,72.8,Europa
859,2020,78.3,70.4,74.2,Europa
860,2019,79.5,71.9,75.6,Europa
861,2018,79.2,71.7,75.3,Europa
862,2017,79.0,71.6,75.2,Europa
863,2016,79.0,71.6,75.2,Europa
864,2021,74.51,65.51,69.9,Europa/Asia
865,2020,76.43,66.49,71.34,Europa/Asia
866,2019,78.17,68.24,73.08,Europa/Asia
867,2018,77.82,67.75,72.66,Europa/Asia
868,2017,77.64,67.51,72.45,Europa/Asia
869,2016,77.06,66.5,71.65,Europa/Asia
870,2021,75.5,70.31,72.77,Oceanía
871,2020,75.46,70.34,72.77,Oceanía
872,2019,74.81,69.77,72.16,Oceanía
873,2018,75.31,70.21,72.64,Oceanía
874,2017,75.27,70.16,72.59,Oceanía
875,2016,75.22,70.11,72.54,Oceanía
876,2021,75.34,68.35,71.68,América
877,2020,75.27,68.32,71.63,América
878,2019,75.2,68.29,71.57,América
879,2018,75.09,68.21,71.47,América
880,2017,75.92,68.21,71.84,América
881,2016,75.94,68.04,71.74,América
882,2021,72.4,67.35,69.63,América
883,2020,74.94,69.81,72.13,América
884,2019,75.58,70.53,72.84,América
885,2018,76.86,71.82,74.13,América
886,2017,77.05,71.98,74.31,América
887,2016,77.1,71.89,74.28,América
888,2021,74.72,67.84,71.11,América
889,2020,77.06,70.04,73.42,América
890,2019,77.06,70.1,73.45,América
891,2018,76.97,70.02,73.36,América
892,2017,76.76,69.79,73.13,América
893,2016,76.58,69.91,73.11,América
894,2021,70.42,65.16,67.59,África
895,2020,70.88,65.16,67.79,África
896,2019,71.62,65.83,68.52,África
897,2018,71.45,65.65,68.36,África
898,2017,71.38,65.53,68.27,África
899,2016,70.38,64.93,67.49,África
900,2021,69.28,64.75,67.09,África
901,2020,70.27,65.59,68.01,África
902,2019,70.95,65.95,68.53,África
903,2018,70.26,65.78,68.1,África
904,2017,70.07,65.3,67.75,África
905,2016,69.79,65.07,67.5,África
906,2021,75.7,70.0,72.8,Europa
907,2020,77.5,71.6,74.5,Europa
908,2019,78.6,73.4,76.0,Europa
909,2018,78.4,73.5,75.9,Europa
910,2017,78.1,73.1,75.6,Europa
911,2016,78.3,73.2,75.7,Europa
912,2021,75.6,71.3,73.4,África
913,2020,82.0,72.7,77.24,África
914,2019,78.4,69.9,74.05,África
915,2018,77.4,68.5,72.84,África
916,2017,78.5,70.3,74.3,África
917,2016,80.2,68.7,74.31,África
918,2021,61.35,58.76,60.06,África
919,2020,61.12,58.4,59.76,África
920,2019,61.55,58.94,60.26,África
921,2018,61.17,58.42,59.8,África
922,2017,59.79,57.49,58.65,África
923,2016,59.56,57.24,58.4,África
924,2021,85.5,80.8,83.09,Asia
925,2020,85.9,81.3,83.54,Asia
926,2019,85.9,81.4,83.6,Asia
927,2018,85.5,81.2,83.3,Asia
928,2017,85.4,80.9,83.1,Asia
929,2016,85.1,80.7,82.85,Asia
930,2021,75.18,69.06,72.06,Asia
931,2020,75.56,68.89,72.14,Asia
932,2019,75.64,68.22,71.82,Asia
933,2018,75.17,65.63,70.15,Asia
934,2017,74.93,62.96,68.48,Asia
935,2016,71.01,61.57,65.99,Asia
936,2021,57.41,53.25,55.28,África
937,2020,58.05,53.97,55.97,África
938,2019,59.09,55.12,57.08,África
939,2018,58.55,54.28,56.38,África
940,2017,57.81,53.58,55.65,África
941,2016,57.29,52.89,55.04,África
942,2021,79.5,73.11,76.4,Asia
943,2020,80.11,72.6,76.39,Asia
944,2019,79.74,72.23,76.01,Asia
945,2018,79.49,71.98,75.75,Asia
946,2017,79.32,71.54,75.4,Asia
947,2016,79.36,71.41,75.33,Asia
948,2021,61.25,53.37,57.07,África
949,2020,63.68,56.03,59.69,África
950,2019,64.35,56.98,60.55,África
951,2018,63.17,55.88,59.41,África
952,2017,61.54,54.47,57.9,África
953,2016,60.03,53.47,56.66,África
954,2021,65.0,59.46,62.34,África
955,2020,67.96,62.18,65.25,África
956,2019,69.11,62.83,66.18,África
957,2018,68.74,62.2,65.67,África
958,2017,68.43,61.95,65.4,África
959,2016,67.79,61.31,64.75,África
960,2021,67.88,62.74,65.27,África
961,2020,68.21,63.11,65.61,África
962,2019,68.39,63.43,65.88,África
963,2018,68.23,63.21,65.68,África
964,2017,68.02,62.96,65.45,África
965,2016,67.43,62.23,64.78,África
966,2021,84.9,81.3,83.1,Europa
967,2020,84.2,80.6,82.4,Europa
968,2019,84.8,81.5,83.2,Europa
969,2018,84.3,80.9,82.6,Europa
970,2017,84.1,80.8,82.5,Europa
971,2016,84.1,80.6,82.4,Europa
972,2021,85.8,81.8,83.9,Europa
973,2020,85.1,81.0,83.1,Europa
974,2019,85.8,82.1,84.0,Europa
975,2018,85.7,81.9,83.8,Europa
976,2017,85.6,81.6,83.7,Europa
977,2016,85.6,81.7,83.7,Europa
978,2021,73.55,67.21,70.27,América
979,2020,75.98,69.26,72.56,América
980,2019,75.68,68.94,72.24,América
981,2018,75.94,69.29,72.55,América
982,2017,75.7,69.23,72.42,América
983,2016,74.85,68.46,71.59,América
984,2021,83.04,74.52,78.72,Asia
985,2020,83.7,74.95,79.27,Asia
986,2019,83.43,74.64,78.98,Asia
987,2018,83.15,74.32,78.66,Asia
988,2017,82.86,74.07,78.39,Asia
989,2016,82.59,73.69,78.05,Asia
990,2021,68.31,64.18,66.2,África
991,2020,68.54,64.37,66.41,África
992,2019,69.12,64.92,66.99,África
993,2018,68.65,64.48,66.54,África
994,2017,68.21,63.86,66.0,África
995,2016,67.69,63.17,65.39,África
996,2021,73.73,69.57,71.59,Asia
997,2020,70.17,66.0,67.99,Asia
998,2019,73.01,68.86,70.87,Asia
999,2018,72.6,68.27,70.35,Asia
1000,2017,72.34,67.68,69.91,Asia
1001,2016,72.09,67.25,69.55,Asia
1002,2021,69.54,66.1,67.74,Asia
1003,2020,70.28,66.84,68.48,Asia
1004,2019,69.95,66.72,68.27,Asia
1005,2018,69.7,66.47,68.02,Asia
1006,2017,69.44,66.19,67.75,Asia
1007,2016,69.17,65.87,67.45,Asia
1008,2021,62.39,60.85,61.62,África
1009,2020,61.58,60.49,61.04,África
1010,2019,61.44,60.35,60.9,África
1011,2018,60.65,59.83,60.24,África
1012,2017,60.48,59.81,60.15,África
1013,2016,59.76,59.33,59.55,África
1014,2021,73.72,68.42,70.99,Oceanía
1015,2020,73.7,68.34,70.93,Oceanía
1016,2019,73.67,68.27,70.87,Oceanía
1017,2018,73.61,68.15,70.78,Oceanía
1018,2017,73.58,68.07,70.71,Oceanía
1019,2016,73.56,67.99,70.66,Oceanía
1020,2021,76.4,69.66,72.97,América
1021,2020,77.88,70.98,74.41,América
1022,2019,77.7,70.83,74.23,América
1023,2018,77.35,70.3,73.8,América
1024,2017,77.69,70.78,74.23,América
1025,2016,77.67,70.88,74.28,América
1026,2021,77.15,70.74,73.77,África
1027,2020,79.28,71.84,75.29,África
1028,2019,79.38,72.9,75.99,África
1029,2018,79.32,72.86,75.95,África
1030,2017,79.13,72.83,75.85,África
1031,2016,79.08,72.76,75.79,África
1032,2021,72.66,65.87,69.26,Asia
1033,2020,71.98,65.39,68.69,Asia
1034,2019,72.46,65.55,69.0,Asia
1035,2018,72.19,65.41,68.8,Asia
1036,2017,72.23,65.59,68.92,Asia
1037,2016,72.0,65.54,68.78,Asia
1038,2021,79.12,73.04,76.03,Europa/Asia
1039,2020,79.06,72.77,75.85,Europa/Asia
1040,2019,81.8,76.4,79.1,Europa/Asia
1041,2018,81.6,76.2,78.9,Europa/Asia
1042,2017,81.3,75.7,78.5,Europa/Asia
1043,2016,81.0,75.4,78.1,Europa/Asia
1044,2021,74.36,65.16,69.65,Europa
1045,2020,76.22,66.39,71.19,Europa
1046,2019,78.3,68.4,73.4,Europa
1047,2018,78.0,68.1,73.2,Europa
1048,2017,78.0,68.3,73.3,Europa
1049,2016,77.6,68.0,72.9,Europa
1050,2021,64.92,60.42,62.71,África
1051,2020,64.9,60.72,62.85,África
1052,2019,64.99,60.89,62.99,África
1053,2018,64.74,60.59,62.71,África
1054,2017,64.03,60.1,62.12,África
1055,2016,63.81,59.4,61.65,África
1056,2021,82.8,78.7,80.7,Europa
1057,2020,82.4,78.4,80.35,Europa
1058,2019,83.3,79.6,81.4,Europa
1059,2018,83.1,79.5,81.3,Europa
1060,2017,83.1,79.5,81.3,Europa
1061,2016,83.0,79.4,81.2,Europa
1062,2021,79.26,71.65,75.44,América
1063,2020,81.91,74.69,78.43,América
1064,2019,81.3,73.58,77.51,América
1065,2018,81.28,73.75,77.61,América
1066,2017,81.32,73.73,77.63,América
1067,2016,81.36,73.59,77.57,América
1068,2021,79.3,73.5,76.33,América
1069,2020,79.9,74.2,76.98,América
1070,2019,81.4,76.3,78.79,América
1071,2018,81.2,76.2,78.64,América
1072,2017,81.1,76.1,78.54,América
1073,2016,81.1,76.1,78.54,América
1074,2021,73.39,68.33,70.86,Asia
1075,2020,72.79,67.88,70.33,Asia
1076,2019,73.88,68.78,71.34,Asia
1077,2018,73.82,68.48,71.15,Asia
1078,2017,73.77,68.26,71.01,Asia
1079,2016,73.51,68.02,70.76,Asia
1080,2021,72.95,68.4,70.45,Oceanía
1081,2020,72.43,68.55,70.3,Oceanía
1082,2019,72.41,67.8,69.88,Oceanía
1083,2018,72.3,67.75,69.8,Oceanía
1084,2017,72.25,67.65,69.71,Oceanía
1085,2016,72.13,67.65,69.65,Oceanía
1086,2021,75.21,66.26,70.55,América
1087,2020,75.81,66.74,71.1,América
1088,2019,76.57,68.03,72.16,América
1089,2018,76.43,67.83,71.98,América
1090,2017,76.23,67.94,71.94,América
1091,2016,76.74,67.76,72.06,América
1092,2021,78.24,69.12,73.62,Asia
1093,2020,79.92,70.79,75.38,Asia
1094,2019,78.89,69.37,74.09,Asia
1095,2018,78.78,69.25,73.98,Asia
1096,2017,78.72,69.26,73.96,Asia
1097,2016,78.76,69.18,73.94,Asia
1098,2021,67.13,60.63,63.75,Asia
1099,2020,67.89,61.64,64.65,Asia
1100,2019,68.63,61.81,65.09,Asia
1101,2018,68.6,60.9,64.58,Asia
1102,2017,68.96,63.11,65.96,Asia
1103,2016,68.94,63.32,66.06,Asia
1104,2021,65.02,59.73,62.31,África
1105,2020,65.46,60.07,62.69,África
1106,2019,65.56,60.7,63.09,África
1107,2018,65.58,60.59,63.04,África
1108,2017,65.34,60.35,62.8,África
1109,2016,64.52,59.94,62.19,África
1110,2021,63.93,58.49,61.22,África
1111,2020,65.04,59.64,62.38,África
1112,2019,65.41,60.08,62.79,África
1113,2018,64.92,59.67,62.34,África
1114,2017,64.61,59.53,62.12,África
1115,2016,64.12,59.35,61.79,África
1116,2021,62.05,56.23,59.25,África
1117,2020,63.86,58.13,61.12,África
1118,2019,63.66,58.64,61.29,África
1119,2018,63.59,58.97,61.41,África
1120,2017,62.96,58.21,60.71,África
1121,2016,62.42,57.96,60.31,África
