,Year,Obesity Rate,Max,Min,Continent
157,2020,35.36,54.78,17.21,Asia
158,2019,34.92,53.19,17.31,Asia
159,2018,34.43,52.97,17.09,Asia
160,2017,33.8,51.92,16.83,Asia
161,2016,33.22,50.86,16.56,Asia
162,2021,275.95,398.17,172.36,Europa
163,2020,281.7,394.33,177.09,Europa
164,2019,273.48,384.9,173.14,Europa
165,2018,274.3,384.93,173.52,Europa
166,2017,272.96,383.6,174.55,Europa
167,2016,271.73,384.34,174.48,Europa
168,2021,12.02,18.49,7.52,África
169,2020,12.05,18.24,7.51,África
170,2019,12.11,18.37,7.61,África
171,2018,12.12,18.17,7.55,África
172,2017,12.19,18.32,7.54,África
173,2016,12.06,18.27,7.43,África
174,2021,10.45,16.65,5.85,África
175,2020,10.19,16.35,5.73,África
176,2019,10.0,15.84,5.68,África
177,2018,9.83,15.42,5.58,África
178,2017,9.64,14.89,5.51,África
179,2016,9.36,14.3,5.35,África
180,2021,31.8,53.69,16.4,Asia
181,2020,30.8,52.24,15.99,Asia
182,2019,29.68,49.23,15.23,Asia
183,2018,28.67,47.45,14.86,Asia
184,2017,27.71,45.66,14.33,Asia
185,2016,26.88,44.08,13.84,Asia
186,2021,44.26,72.2,23.26,África
187,2020,43.49,69.69,23.07,África
188,2019,42.55,68.13,22.5,África
189,2018,41.75,66.14,22.12,África
190,2017,36.82,59.51,19.59,África
191,2016,35.45,56.51,18.63,África
192,2021,19.32,29.96,10.88,Asia
193,2020,18.75,29.1,10.45,Asia
194,2019,18.14,28.14,10.19,Asia
195,2018,17.55,27.2,9.95,Asia
196,2017,16.93,26.23,9.83,Asia
197,2016,16.32,25.24,9.48,Asia
198,2021,36.5,57.55,19.2,África
199,2020,36.62,57.85,18.97,África
200,2019,36.54,56.84,18.87,África
201,2018,36.35,57.33,18.52,África
202,2017,36.15,57.1,18.28,África
203,2016,36.25,56.92,18.07,África
204,2021,59.04,95.94,23.37,América
205,2020,59.6,96.43,23.45,América
206,2019,60.66,97.73,24.13,América
207,2018,59.91,96.46,23.62,América
208,2017,58.97,95.33,23.05,América
209,2016,57.58,93.11,22.31,América
210,2021,24.24,37.09,12.07,Asia
211,2020,23.5,36.16,11.88,Asia
212,2019,23.86,36.51,12.14,Asia
213,2018,23.88,36.53,12.08,Asia
214,2017,23.76,35.74,12.17,Asia
215,2016,23.89,35.71,12.18,Asia
216,2021,14.18,22.77,7.78,África
217,2020,14.29,23.07,7.82,África
218,2019,14.3,23.05,7.79,África
219,2018,14.29,23.21,7.79,África
220,2017,14.26,23.18,7.75,África
221,2016,14.22,23.2,7.84,África
222,2021,59.64,91.18,31.17,América
223,2020,58.15,88.27,30.69,América
224,2019,60.57,91.65,32.35,América
225,2018,59.52,90.28,31.63,América
226,2017,61.54,93.06,32.44,América
227,2016,61.34,93.27,32.43,América
228,2021,40.46,64.93,20.47,Asia
229,2020,38.32,61.58,18.48,Asia
230,2019,36.41,57.68,18.26,Asia
231,2018,34.71,54.74,17.4,Asia
232,2017,33.24,52.65,17.04,Asia
233,2016,31.7,50.56,16.99,Asia
234,2021,61.32,99.94,29.85,Asia
235,2020,60.86,99.3,29.98,Asia
236,2019,62.58,100.87,30.28,Asia
237,2018,60.41,97.03,29.77,Asia
238,2017,59.15,94.5,29.25,Asia
239,2016,57.77,91.39,28.57,Asia
240,2021,42.84,68.36,19.94,América
241,2020,41.66,65.75,20.11,América
242,2019,39.57,62.49,19.47,América
243,2018,39.45,61.94,19.73,América
244,2017,37.17,57.93,18.62,América
245,2016,36.51,56.47,18.3,América
246,2021,36.26,58.42,20.39,África
247,2020,35.08,56.76,19.87,África
248,2019,33.5,53.42,18.71,África
249,2018,32.11,51.35,17.95,África
250,2017,31.53,49.69,18.1,África
251,2016,30.6,48.1,17.41,África
252,2021,46.63,71.97,26.38,África
253,2020,45.74,70.81,25.71,África
254,2019,44.42,69.49,25.32,África
255,2018,43.18,67.16,24.45,África
256,2017,42.05,65.87,23.57,África
257,2016,41.09,63.39,23.17,África
258,2021,39.33,67.48,20.22,Asia
259,2020,37.7,64.38,19.26,Asia
260,2019,36.18,61.39,19.2,Asia
261,2018,34.76,58.59,18.76,Asia
262,2017,33.36,56.19,18.18,Asia
263,2016,32.14,54.35,17.37,Asia
264,2021,28.06,45.61,12.72,Asia
265,2020,25.72,42.6,11.7,Asia
266,2019,24.98,40.19,11.44,Asia
267,2018,24.26,39.33,11.14,Asia
268,2017,23.22,38.06,10.6,Asia
269,2016,22.58,36.78,10.35,Asia
270,2021,24.76,39.3,13.5,África
271,2020,24.58,38.81,13.4,África
272,2019,24.26,38.58,13.14,África
273,2018,24.44,38.35,13.18,África
274,2017,24.36,37.79,13.13,África
275,2016,24.21,37.33,12.99,África
276,2021,54.04,82.8,27.58,América
277,2020,50.98,77.27,26.69,América
278,2019,51.41,78.63,26.9,América
279,2018,48.59,74.5,25.56,América
280,2017,45.86,69.45,23.78,América
281,2016,43.6,66.73,22.42,América
282,2021,135.51,217.38,62.49,Europa
283,2020,132.83,212.85,63.39,Europa
284,2019,130.41,207.0,61.19,Europa
