,Year,Obesity Rate,Max,Min,Continent
686,2019,38.41,59.16,20.54,África
687,2018,36.93,57.11,19.71,África
688,2017,36.29,55.36,19.44,África
689,2016,35.03,52.96,18.83,África
690,2021,90.38,132.07,47.67,América
691,2020,86.86,123.85,44.72,América
692,2019,84.6,123.06,44.86,América
693,2018,81.99,119.37,43.67,América
694,2017,79.96,116.46,43.25,América
695,2016,78.1,113.79,42.41,América
696,2021,147.5,227.61,67.46,Oceanía
697,2020,143.92,221.09,66.49,Oceanía
698,2019,140.03,215.7,65.45,Oceanía
699,2018,136.41,209.21,63.81,Oceanía
700,2017,132.8,205.25,60.79,Oceanía
701,2016,129.23,199.24,57.83,Oceanía
702,2021,143.35,216.91,70.37,Europa
703,2020,139.27,210.58,70.18,Europa
704,2019,137.58,209.75,71.17,Europa
705,2018,136.04,204.16,70.15,Europa
706,2017,132.98,201.69,68.5,Europa
707,2016,137.52,207.98,70.29,Europa
708,2021,37.24,62.81,15.83,Asia
709,2020,36.9,62.1,14.98,Asia
710,2019,37.72,63.16,15.93,Asia
711,2018,37.43,62.8,15.55,Asia
712,2017,37.2,62.6,15.01,Asia
713,2016,37.36,63.8,14.83,Asia
714,2021,131.05,215.24,56.02,Europa
715,2020,138.57,224.98,59.88,Europa
716,2019,133.4,215.46,56.56,Europa
717,2018,131.73,213.75,55.55,Europa
718,2017,130.65,211.65,55.29,Europa
719,2016,127.68,206.38,54.83,Europa
720,2021,19.93,32.46,11.1,África
721,2020,19.94,32.25,11.16,África
722,2019,19.85,32.49,11.26,África
723,2018,19.68,32.01,11.13,África
724,2017,19.65,31.43,11.13,África
725,2016,19.52,30.88,10.98,África
726,2021,57.78,90.05,29.46,África
727,2020,57.79,89.78,29.38,África
728,2019,56.73,88.32,29.01,África
729,2018,55.54,86.37,28.18,África
730,2017,54.14,85.16,27.53,África
731,2016,52.79,82.72,26.58,África
732,2021,163.97,248.51,74.48,Oceanía
733,2020,163.06,246.93,73.7,Oceanía
734,2019,162.43,248.69,74.25,Oceanía
735,2018,162.11,249.13,73.9,Oceanía
736,2017,161.73,247.92,73.9,Oceanía
737,2016,161.09,247.4,74.11,Oceanía
738,2021,19.56,33.29,9.86,Asia
739,2020,19.17,32.34,9.72,Asia
740,2019,18.62,31.0,9.47,Asia
741,2018,18.08,29.92,9.35,Asia
742,2017,17.47,28.24,9.01,Asia
743,2016,16.87,27.02,8.66,Asia
744,2021,44.85,68.01,25.43,América
745,2020,44.6,65.9,24.74,América
746,2019,46.26,68.15,25.63,América
747,2018,45.47,66.78,24.96,América
748,2017,44.03,64.82,24.19,América
749,2016,44.5,65.44,24.4,América
750,2021,10.25,16.23,5.61,África
751,2020,10.32,16.23,5.64,África
752,2019,10.35,15.87,5.67,África
753,2018,10.3,16.15,5.61,África
754,2017,10.23,16.25,5.44,África
755,2016,10.17,16.43,5.42,África
756,2021,20.31,31.26,10.52,África
757,2020,20.07,31.51,10.23,África
758,2019,19.9,31.2,10.14,África
759,2018,19.7,30.26,10.02,África
760,2017,19.48,30.69,10.48,África
761,2016,19.26,30.11,10.42,África
762,2021,39.86,68.82,14.68,Europa
763,2020,38.76,66.06,14.39,Europa
764,2019,39.27,67.75,14.55,Europa
765,2018,39.11,67.43,14.55,Europa
766,2017,39.37,67.75,14.46,Europa
767,2016,40.27,68.7,14.89,Europa
768,2021,55.49,91.37,21.13,Oceanía
769,2020,53.2,87.98,20.39,Oceanía
770,2019,55.43,91.77,21.14,Oceanía
771,2018,54.79,90.41,20.99,Oceanía
772,2017,54.61,90.58,20.88,Oceanía
773,2016,53.89,89.2,20.94,Oceanía
774,2021,40.46,57.77,23.15,Asia
775,2020,41.85,59.89,23.41,Asia
776,2019,43.28,61.46,24.69,Asia
777,2018,42.83,61.43,24.38,Asia
778,2017,44.49,63.52,25.27,Asia
779,2016,45.36,64.47,25.73,Asia
780,2021,54.58,92.01,20.4,Europa
781,2020,53.71,90.38,20.16,Europa
782,2019,52.74,89.18,19.71,Europa
783,2018,52.46,88.64,19.66,Europa
784,2017,52.2,87.73,19.73,Europa
785,2016,52.35,88.12,19.96,Europa
786,2021,29.94,48.21,15.02,Asia
787,2020,29.79,47.27,14.83,Asia
788,2019,29.36,47.27,14.13,Asia
789,2018,29.03,48.43,14.14,Asia
790,2017,28.74,46.32,14.62,Asia
791,2016,28.39,46.36,14.45,Asia
792,2021,61.05,95.14,28.63,América
793,2020,61.19,92.03,30.2,América
794,2019,59.85,89.73,29.91,América
795,2018,58.92,88.23,30.06,América
796,2017,59.16,88.21,29.81,América
797,2016,56.73,85.88,28.75,América
798,2021,38.16,62.47,17.2,Oceanía
799,2020,38.01,62.44,17.26,Oceanía
800,2019,37.47,61.19,17.32,Oceanía
801,2018,36.15,58.73,16.68,Oceanía
802,2017,35.54,56.72,16.08,Oceanía
803,2016,34.85,55.64,15.44,Oceanía
804,2021,62.77,99.04,31.7,América
805,2020,62.56,96.75,31.62,América
806,2019,64.96,96.26,33.53,América
807,2018,62.31,92.49,31.71,América
808,2017,59.43,87.92,29.6,América
809,2016,60.34,87.7,30.53,América
810,2021,36.46,58.23,18.33,América
811,2020,37.52,57.88,18.66,América
812,2019,39.32,60.73,19.17,América
813,2018,36.07,55.44,18.04,América
814,2017,33.78,51.18,17.29,América
815,2016,30.1,45.61,15.58,América
816,2021,103.58,163.98,47.05,Europa
817,2020,102.24,160.1,48.29,Europa
818,2019,100.71,159.61,47.65,Europa
819,2018,99.96,158.7,47.16,Europa
820,2017,95.47,152.08,44.1,Europa
821,2016,91.91,146.48,41.74,Europa
822,2021,87.23,143.12,36.61,Europa
823,2020,86.2,141.44,36.75,Europa
824,2019,85.14,141.21,35.87,Europa
825,2018,83.49,137.95,35.07,Europa
826,2017,81.23,134.16,33.81,Europa
827,2016,80.12,132.34,33.32,Europa
828,2021,34.67,61.77,18.12,África
829,2020,34.27,61.67,17.88,África
830,2019,33.84,61.63,17.41,África
831,2018,33.1,60.42,16.94,África
832,2017,32.33,59.79,16.4,África
833,2016,31.63,58.52,16.11,África
834,2021,118.46,193.5,50.79,Europa
835,2020,120.29,193.3,53.59,Europa
836,2019,117.89,188.74,51.51,Europa
837,2018,116.49,186.99,50.34,Europa
838,2017,113.11,182.97,47.51,Europa
839,2016,111.05,179.62,45.96,Europa
840,2021,30.93,48.65,16.11,África
841,2020,30.22,47.7,15.47,África
842,2019,29.32,45.66,15.34,África
843,2018,28.65,44.98,15.04,África
844,2017,27.95,44.62,14.75,África
845,2016,27.37,43.13,14.54,África
846,2021,55.11,86.51,29.98,América
847,2020,56.56,85.84,30.42,América
848,2019,53.37,81.3,28.61,América
849,2018,53.1,79.97,28.59,América
850,2017,51.56,76.01,27.21,América
851,2016,50.09,75.75,26.1,América
852,2021,15.93,26.11,8.94,África
853,2020,15.38,25.05,8.52,África
854,2019,14.69,23.54,8.24,África
855,2018,14.12,22.36,7.8,África
856,2017,13.62,21.74,7.63,África
857,2016,13.14,20.69,7.4,África
858,2021,148.66,228.47,81.17,Europa
859,2020,145.43,219.97,79.37,Europa
860,2019,143.87,216.73,78.45,Europa
861,2018,142.98,217.09,77.84,Europa
862,2017,139.85,211.43,76.88,Europa
863,2016,137.31,207.47,75.18,Europa
864,2021,122.21,200.61,44.35,Europa
865,2020,119.47,196.77,44.53,Europa
866,2019,119.0,193.48,44.16,Europa
867,2018,119.3,193.55,44.61,Europa
868,2017,116.87,189.55,44.04,Europa
869,2016,119.75,194.77,45.68,Europa
870,2021,113.12,170.97,56.54,Oceanía
871,2020,112.45,171.19,55.9,Oceanía
872,2019,111.84,168.41,55.17,Oceanía
873,2018,111.07,167.4,54.27,Oceanía
874,2017,110.15,164.95,52.81,Oceanía
875,2016,108.95,164.05,51.82,Oceanía
876,2021,105.21,156.32,58.18,América
877,2020,101.07,149.42,55.19,América
878,2019,98.04,143.89,53.67,América
879,2018,94.73,137.94,53.46,América
880,2017,91.26,132.91,51.79,América
881,2016,88.31,128.47,50.23,América
882,2021,109.85,159.35,67.21,América
883,2020,107.51,154.92,66.19,América
884,2019,105.23,153.81,64.53,América
885,2018,98.71,142.52,60.48,América
886,2017,92.59,131.79,57.51,América
887,2016,88.72,126.29,54.66,América
888,2021,100.31,152.97,55.34,América
889,2020,94.41,140.08,53.95,América
890,2019,88.52,131.49,51.29,América
891,2018,84.89,125.44,49.72,América
892,2017,80.88,117.68,47.49,América
893,2016,76.72,110.26,44.54,América
894,2021,31.13,48.64,16.49,África
895,2020,30.66,47.62,16.1,África
896,2019,29.98,46.77,15.85,África
897,2018,29.24,45.88,15.49,África
898,2017,28.4,44.81,15.45,África
899,2016,28.03,44.19,15.2,África
900,2021,29.27,45.77,16.04,África
901,2020,29.13,45.38,16.05,África
902,2019,28.87,44.68,15.83,África
903,2018,27.69,42.69,15.34,África
904,2017,27.58,42.15,15.39,África
905,2016,27.39,41.66,15.59,África
906,2021,162.78,252.66,81.86,Europa
907,2020,163.33,250.87,80.75,Europa
908,2019,157.13,239.92,78.74,Europa
909,2018,153.35,235.52,76.34,Europa
910,2017,153.79,238.42,77.17,Europa
911,2016,149.54,232.87,75.58,Europa
912,2021,86.06,122.82,55.05,África
913,2020,84.01,118.76,53.79,África
914,2019,93.42,130.39,58.27,África
915,2018,90.94,126.15,56.2,África
916,2017,88.02,121.93,54.49,África
917,2016,85.18,117.97,53.71,África
918,2021,20.33,32.85,10.95,África
919,2020,20.07,32.13,10.77,África
920,2019,19.84,31.49,10.71,África
921,2018,19.56,31.06,10.6,África
922,2017,19.37,30.9,10.44,África
923,2016,19.12,30.16,10.14,África
924,2021,21.6,33.81,10.69,Asia
925,2020,20.99,32.92,10.54,Asia
926,2019,20.25,31.65,10.24,Asia
927,2018,20.07,31.18,10.47,Asia
928,2017,19.58,30.1,10.3,Asia
929,2016,19.02,28.86,10.17,Asia
930,2021,120.12,193.22,60.89,Asia
931,2020,116.72,186.62,59.86,Asia
932,2019,112.38,179.61,57.9,Asia
933,2018,106.41,165.17,53.52,Asia
934,2017,98.7,151.84,50.07,Asia
935,2016,89.78,138.94,45.9,Asia
936,2021,14.6,24.92,8.21,África
937,2020,14.7,24.97,8.16,África
938,2019,14.71,24.93,8.17,África
939,2018,14.65,24.86,8.08,África
940,2017,14.58,24.76,7.99,África
941,2016,14.54,24.91,7.92,África
942,2021,46.74,81.97,20.72,Asia
943,2020,42.77,76.66,18.65,Asia
944,2019,45.19,77.05,20.51,Asia
945,2018,44.32,74.14,21.52,Asia
946,2017,42.93,69.72,20.42,Asia
947,2016,41.5,65.06,19.45,Asia
948,2021,87.55,139.36,44.88,África
949,2020,89.29,141.81,45.04,África
950,2019,89.72,143.77,43.92,África
951,2018,89.39,141.74,44.32,África
952,2017,88.77,142.09,44.28,África
953,2016,88.21,142.51,44.75,África
954,2021,92.64,135.8,52.57,África
955,2020,92.78,135.12,51.68,África
956,2019,89.45,130.38,49.96,África
957,2018,91.43,130.98,52.39,África
958,2017,91.6,132.35,51.86,África
959,2016,93.52,136.08,52.83,África
960,2021,13.01,21.5,7.44,África
961,2021,44.85,70.99,23.47,África
962,2020,12.86,21.22,7.44,África
963,2020,44.16,69.78,23.26,África
964,2019,12.64,20.68,7.27,África
965,2019,43.29,68.06,22.78,África
966,2018,12.08,19.87,6.9,África
967,2018,42.41,66.78,22.2,África
968,2017,10.89,18.17,6.07,África
969,2017,41.63,65.7,21.49,África
970,2016,9.84,16.17,5.5,África
971,2016,40.96,64.6,21.32,África
972,2021,61.78,102.43,27.09,Europa
973,2020,62.92,104.14,26.5,Europa
974,2019,63.61,104.76,27.34,Europa
975,2018,65.31,107.42,28.39,Europa
976,2017,66.63,108.57,29.41,Europa
977,2016,66.11,108.42,28.76,Europa
978,2021,53.9,88.21,23.89,Europa
979,2020,56.05,91.87,25.41,Europa
980,2019,54.33,88.6,24.47,Europa
981,2018,55.12,89.84,25.16,Europa
982,2017,54.47,88.27,24.86,Europa
983,2016,54.94,89.67,24.96,Europa
984,2021,69.7,108.86,34.92,América
985,2020,73.81,113.63,39.35,América
986,2019,72.94,110.66,39.95,América
987,2018,69.93,105.81,38.44,América
988,2017,66.23,100.3,36.56,América
989,2016,63.55,95.7,34.76,América
990,2021,48.22,80.09,22.49,Asia
991,2020,45.7,74.89,21.24,Asia
992,2019,43.28,70.12,20.44,Asia
993,2018,39.93,64.45,18.8,Asia
994,2017,37.28,60.5,17.52,Asia
995,2016,35.88,57.5,16.78,Asia
996,2021,24.58,39.61,13.3,África
997,2020,24.34,39.28,13.26,África
998,2019,23.85,38.65,12.94,África
999,2018,23.46,38.13,12.71,África
1000,2017,23.05,37.68,12.44,África
1001,2016,22.59,35.82,12.15,África
1002,2021,34.95,55.42,17.13,Asia
1003,2020,34.89,55.4,17.27,Asia
1004,2019,34.49,53.78,17.46,Asia
1005,2018,34.49,53.36,17.53,Asia
1006,2017,34.36,52.62,17.62,Asia
1007,2016,34.91,52.83,18.03,Asia
1008,2021,11.24,17.71,6.61,Asia
1009,2020,11.04,17.23,6.61,Asia
1010,2019,10.89,17.01,6.56,Asia
1011,2018,10.56,16.62,6.42,Asia
1012,2017,10.21,15.84,6.33,Asia
1013,2016,9.86,15.26,6.17,Asia
1014,2021,26.09,41.1,13.91,África
1015,2020,25.43,40.39,13.64,África
1016,2019,24.81,39.3,13.48,África
1017,2018,24.25,38.55,13.14,África
1018,2017,23.73,37.8,12.83,África
1019,2016,22.99,36.69,12.44,África
1020,2021,109.9,166.3,49.76,Oceanía
1021,2020,108.33,164.22,49.54,Oceanía
1022,2019,106.99,162.39,49.55,Oceanía
1023,2018,105.7,159.57,49.04,Oceanía
1024,2017,104.34,158.08,48.67,Oceanía
1025,2016,102.93,155.44,48.09,Oceanía
1026,2021,153.73,234.13,79.03,América
1027,2020,151.1,233.08,76.98,América
1028,2019,144.27,212.94,74.91,América
1029,2018,139.1,201.5,72.85,América
1030,2017,135.97,195.98,70.45,América
1031,2016,133.85,195.69,71.06,América
1032,2021,80.89,125.69,41.35,África
1033,2020,78.7,123.54,39.85,África
1034,2019,76.65,119.83,39.38,África
1035,2018,74.36,117.71,38.26,África
1036,2017,72.15,114.9,38.03,África
1037,2016,69.4,109.35,36.98,África
1038,2021,66.02,110.24,28.98,Asia
1039,2020,65.46,105.63,28.76,Asia
1040,2019,64.5,103.47,28.33,Asia
1041,2018,63.05,100.47,27.65,Asia
1042,2017,61.85,97.54,27.5,Asia
1043,2016,59.89,93.85,27.36,Asia
1044,2021,86.92,130.95,44.57,Asia
1045,2020,86.03,129.53,44.25,Asia
1046,2019,82.61,125.78,42.49,Asia
1047,2018,79.7,121.55,41.81,Asia
1048,2017,80.2,120.58,42.88,Asia
1049,2016,79.89,119.51,42.92,Asia
1050,2021,145.01,224.01,65.42,Oceanía
1051,2020,144.44,224.24,65.01,Oceanía
1052,2019,143.94,224.75,66.06,Oceanía
1053,2018,143.5,226.23,66.15,Oceanía
1054,2017,142.78,225.1,66.16,Oceanía
1055,2016,141.92,223.89,65.36,Oceanía
1056,2021,152.2,261.06,57.3,Europa
1057,2020,148.73,249.74,56.68,Europa
1058,2019,154.7,256.76,59.46,Europa
1059,2018,151.39,254.14,58.13,Europa
1060,2017,147.86,244.27,55.22,Europa
1061,2016,145.76,238.95,56.77,Europa
1062,2021,12.83,20.17,6.85,África
1063,2020,12.59,19.88,6.8,África
1064,2019,12.24,19.22,6.7,África
1065,2018,11.97,18.88,6.54,África
1066,2017,11.69,18.42,6.37,África
1067,2016,11.53,18.17,6.16,África
1068,2021,58.77,100.8,20.2,Europa
1069,2020,58.48,100.85,20.43,Europa
1070,2019,59.99,103.14,20.86,Europa
1071,2018,60.19,103.6,20.96,Europa
1072,2017,59.4,102.18,20.61,Europa
1073,2016,59.06,101.52,20.41,Europa
1074,2021,85.73,135.48,40.79,América
1075,2020,80.54,127.36,37.92,América
1076,2019,84.44,132.46,40.37,América
1077,2018,82.43,128.76,39.5,América
1078,2017,80.59,126.22,38.34,América
1079,2016,79.47,125.04,37.08,América
1080,2021,100.67,154.24,48.23,América
1081,2020,99.28,151.84,48.34,América
1082,2019,97.83,149.49,47.45,América
1083,2018,95.86,146.43,46.27,América
1084,2017,94.15,144.29,44.96,América
1085,2016,91.75,140.97,43.4,América
1086,2021,62.32,97.96,30.11,Asia
1087,2020,61.41,96.53,28.83,Asia
1088,2019,60.73,94.09,28.9,Asia
1089,2018,62.7,98.48,29.35,Asia
1090,2017,64.22,99.74,29.99,Asia
1091,2016,64.34,100.27,30.12,Asia
1092,2021,71.19,110.81,32.15,Oceanía
1093,2020,69.79,108.16,31.31,Oceanía
1094,2019,68.27,105.05,30.93,Oceanía
1095,2018,66.79,103.39,30.0,Oceanía
1096,2017,65.29,101.1,29.44,Oceanía
1097,2016,63.89,98.49,28.55,Oceanía
1098,2021,99.92,155.32,51.89,América
1099,2020,94.11,149.88,49.62,América
1100,2019,85.74,133.28,45.59,América
1101,2018,76.33,115.27,40.73,América
1102,2017,71.37,104.33,39.16,América
1103,2016,70.83,103.67,38.76,América
1104,2021,18.93,30.1,9.94,Asia
1105,2020,18.34,29.05,9.58,Asia
1106,2019,17.63,28.07,9.19,Asia
1107,2018,16.94,26.74,8.88,Asia
1108,2017,16.23,25.6,8.48,Asia
1109,2016,15.54,24.46,8.18,Asia
1110,2021,32.85,51.68,17.71,Asia
1111,2020,31.89,50.58,17.27,Asia
1112,2019,30.52,47.71,16.47,Asia
1113,2018,28.51,45.27,15.19,Asia
1114,2017,27.29,43.52,14.81,Asia
1115,2016,26.55,41.39,14.93,Asia
1116,2021,15.82,25.47,8.76,África
1117,2020,15.29,24.86,8.55,África
1118,2019,14.84,23.7,8.2,África
1119,2018,14.28,22.83,7.78,África
1120,2017,13.97,22.6,7.81,África
1121,2016,13.44,21.53,7.44,África
1122,2021,23.74,37.0,13.34,África
1123,2020,23.6,37.17,13.42,África
1124,2019,23.06,36.57,13.31,África
1125,2018,22.44,35.17,13.09,África
1126,2017,21.88,33.96,12.7,África
1127,2016,21.46,32.83,12.56,África
1128,2021,43.66,71.58,23.1,África
1129,2020,43.82,70.76,23.64,África
1130,2019,43.33,69.52,23.34,África
1131,2018,42.54,68.38,22.91,África
1132,2017,41.68,66.68,22.65,África
1133,2016,41.13,65.26,22.51,África
